#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
IV|CAPA|41.158295|15.816928|156.0|Cerignola FG|2014-02-04T09:20:00|
IV|CAPR|45.6372|9.9345|215.0|Capriolo|2010-03-15T17:00:00|
IV|CAR1|39.2534|16.2114|680.0|CAROLEI|2010-04-02T16:00:00|
IV|CARO|39.254|16.219|618|Carolei|2006-08-07T00:00:00|2009-09-03T14:00:00
IV|CASP|42.7908|10.8652|390|Castiglione della Pescaia|2007-05-30T19:00:00|
IV|CAVE|44.8658|11.0031|18|Cavezzo|2012-11-28T08:00:00|
IV|CAVT|37.67883|12.7556|158.0|Castelvetrano - Marcita|2003-03-01T00:00:00|
IV|CAWE|40.840439|14.139376|276|Astroni Ovest - Stazione Osservatorio Vesuviano|2019-04-18T00:00:00|
IV|CBAC|40.810901|14.08057|77|Campi Flegrei, Castello di Baia - Stazione Osservatorio Vesu|2009-09-15T00:00:00|
IV|CBAG|40.811524|14.174719|51.9|Bagnoli Pozzo Italsider - Stazione Osservatorio Vesuviano|2014-05-27T00:00:00|
IV|CCAP|40.8064|14.192267|207.2|Capo Posillipo - Stazione Osservatorio Vesuviano|2023-03-06T00:00:00|
IV|CDCA|43.4584|12.2336|50|Citta di Castello|2006-07-14T12:00:00|
IV|CDRU|40.4896|15.3046|1057.0|Civita di Ruta - Ottati|2005-10-13T10:00:00|
IV|CELB|42.746577|10.210652|742|S.Piero in Campo Elba|2011-06-08T15:00:00|
IV|CELI|39.4027|16.5088|1290.0|Celico, Cosenza|2011-10-24T07:57:22|
IV|CERA|41.5978|14.0183|800.0|Filignano|2006-07-20T00:00:00|
IV|CERT|41.94903|12.98176|773|CERRETO|2003-04-24T00:00:00|
IV|CESI|43.0049|12.9046|840.0|Cesi-Serravalle di Chienti|2007-01-08T15:00:00|
IV|CESX|42.608486|12.58676|380|Cesi|2008-07-18T12:00:00|
IV|CET2|39.528756|15.954618|675|Cetraro|2011-12-01T08:25:30|
IV|CFMN|40.832942|14.090403|91.9| Monte Nuovo - Stazione Osservatorio Vesuviano|2014-09-23T00:00:00|
IV|CGL|39.366|9.296|1050.0|PUNTA SERPEDDI|2003-03-01T00:00:00|
IV|CGN1|40.822128|14.16215|65.2|EX-NATO GALLERIA 2 - Stazione Osservatorio Vesuviano|2026-01-14T00:00:00|
IV|CGN2|40.82082665|14.16818864|90.83|Galleria NATO 2- Stazione Osservatorio Vesuviano|2025-09-29T00:00:00|
IV|CIGN|41.65418|14.90502|350.0|Sant'Elia a Pianisi (CB)|2003-03-26T00:00:00|
IV|CIMA|43.305297|13.670091|163|Civitanova Marche|2010-03-15T09:21:00|
IV|CIMI|37.881475|13.572629|623.0|CIMI|2022-10-03T07:19:00|
IV|CING|43.37557|13.1954|626|CINGOLI|2003-11-20T00:00:00|
IV|CLTA|37.158|13.962|246|Licata (Agrigento)|2012-10-18T10:23:31|
IV|CLTB|37.578|13.216|949.0|Caltabellotta, Italy|2023-06-29T10:10:00|
IV|CMAG|44.53466|7.88007|344.0|Costamagna|2025-07-24T00:00:00|
IV|CMDO|37.4639|13.8229|571|CMDO|2014-01-24T14:28:07|
IV|CMIS|40.778122|14.088917|133.6| Capo Miseno - Stazione Osservatorio Vesuviano|2015-10-12T00:00:00|
IV|CMPO|44.5808|11.8056|2|Campotto Po|2007-02-21T12:00:00|2022-06-09T12:00:00
IV|CMPR|40.3181|15.303|732.0|Campora|2005-10-13T10:00:00|
IV|CMSN|40.838661|14.183622|154.4|Monte S.Angelo - Stazione Osservatorio Vesuviano|2008-11-28T00:00:00|
IV|CMTS|40.831427|14.197239|84.9|Via Metastasio - Stazione Osservatorio Vesuviano|2016-02-05T00:00:00|
IV|CNCS|45.606|10.217|126.0|Concesio|2012-01-23T14:30:00|
